rank,feature,p_donor,q_hat_recipient_center,q_hat_recipient/p_donor
182,sgRNA0244,0.0010330279504054,0.0003021318715012,0.2924721169283288
183,sgRNA0409,0.0004720458849081,0.0001413296150073,0.29939804482103405
184,sgRNA0786,0.0006478132487693,0.0001949455249782,0.3009285860524662
185,sgRNA0861,0.0005378270839579,0.0001621978166166,0.30157985987425
186,sgRNA0004,0.0008472618442885,0.0002555364911442,0.301602736942309
187,sgRNA1395,0.0008840993157565,0.000268967504243,0.30422770321098114
188,sgRNA0046,0.0010361854479598,0.0003158705680683,0.3048398032323598
189,sgRNA0831,0.0005988720366762,0.0001853300569122,0.3094652038535652
190,sgRNA0662,0.0007299081851836,0.0002264598288766,0.3102579659654544
191,sgRNA0815,0.0009498805148063,0.0002950894416334,0.3106595377352011
192,sgRNA0705,0.0009198842880396,0.0002923986616807,0.3178646113239327
193,sgRNA0082,0.0005425633302895,0.0001770332391312,0.32629046094349745
194,sgRNA0807,0.0007156994461888,0.0002383751498297,0.3330659973248284
195,sgRNA0383,0.0007604306615427,0.000254351562709,0.33448357039285104
196,sgRNA0525,0.0011414353664396,0.000382354594372,0.3349769996742366
197,sgRNA0817,0.0005772958033879,0.0001936831371787,0.33550068447069464
198,sgRNA0239,0.0009688255001327,0.0003304763812695,0.3411103250525865
199,sgRNA0294,0.0008546293385821,0.0002969022144632,0.3474046596104284
200,sgRNA0700,0.0012098478134514,0.0004206800922059,0.34771323097721074
201,sgRNA0606,0.0009140955425232,0.0003191433121998,0.34913561805460835
202,sgRNA1341,0.0008725218247237,0.0003088240706252,0.35394423597712843
203,sgRNA0374,0.0005199345978164,0.0001856453044764,0.357055108961907
204,sgRNA1308,0.0005815058001271,0.0002098467287707,0.360867817182277
205,sgRNA0003,0.0006293945130354,0.0002271394555972,0.36088566216087214
206,sgRNA0139,0.0005046733596368,0.0001823064783447,0.3612365797867776
207,sgRNA0447,0.0005409845815123,0.0001968953418524,0.3639574002312362
208,sgRNA0708,0.0012335290451094,0.0004531038547839,0.36732321511222693
209,sgRNA0872,0.0004783608800169,0.0001778199654042,0.3717276492131167
210,sgRNA0892,0.0004457334052881,0.0001664036009605,0.3733253980660143
211,sgRNA0122,0.0004767821312397,0.0001812736497405,0.3802022724072382
212,sgRNA0914,0.0003899509484938,0.0001483701934734,0.38048424820220433
213,sgRNA0362,0.0004725721345005,0.000180326530426,0.3815851957005501
214,sgRNA0658,0.0013766689342419,0.0005337836221925,0.38773564864848387
215,sgRNA0150,0.0009314617790724,0.0003638448874903,0.39061708774850257
216,sgRNA0364,0.0007393806778468,0.0002892467354175,0.39120137174781844
217,sgRNA0464,0.0008225281134458,0.0003265377202911,0.39699277745430767
218,sgRNA0806,0.0004478384036577,0.000179917569427,0.401746629939575
219,sgRNA0830,0.0007162256957812,0.0002892166744704,0.4038066159507811
220,sgRNA0870,0.000631499511405,0.0002550560127712,0.40388948552586407
221,sgRNA0774,0.0006199220203722,0.0002514848885608,0.40567181080260534
222,sgRNA0467,0.0007641144086895,0.0003134928146722,0.41026947157017774
223,sgRNA0808,0.0006488657479541,0.0002684304664254,0.4136918419130184
224,sgRNA0370,0.0008688380775769,0.0003610393398577,0.41554272214288945
225,sgRNA0665,0.0005409845815123,0.0002250106113534,0.41592795625411755
226,sgRNA0568,0.0009156742913004,0.0003839339969381,0.41929100837029504
227,sgRNA1239,0.0005704545586867,0.000239784245415,0.4203389065152378
228,sgRNA0804,0.0006257107658886,0.0002650860125496,0.42365582790179335
229,sgRNA0750,0.0005915045423826,0.0002511048745247,0.424518928482343
230,sgRNA0644,0.0004767821312397,0.0002035479520848,0.42692026136874495
231,sgRNA1344,0.0006567594918401,0.0002860822309749,0.43559664463068304
232,sgRNA0201,0.0007230669404824,0.0003183483262043,0.44027504008399454
233,sgRNA0770,0.0003246959990364,0.0001453362516761,0.4476071528673413
234,sgRNA0352,0.0006246582667038,0.000280033583072,0.4482988507455166
235,sgRNA0758,0.0005020421116748,0.0002276963660767,0.45354037197618857
236,sgRNA0757,0.0003904771980862,0.0001808058837778,0.46303826360146666
237,sgRNA1097,0.0005957145391218,0.0002767002455851,0.46448462713871386
238,sgRNA0582,0.0007709556533907,0.0003609812641478,0.4682257177312172
239,sgRNA1236,0.0003431147347703,0.0001606892647189,0.46832516483582176
240,sgRNA0737,0.0007109631998572,0.0003343168072695,0.4702308183273746
241,sgRNA1333,0.0007877956403475,0.000375234935358,0.47630999226205706
242,sgRNA0856,0.0007235931900748,0.0003523691440926,0.48697133821308425
243,sgRNA0821,0.0010209242097802,0.0004981827527757,0.48797231763458354
244,sgRNA0424,0.000701490707194,0.0003481710052075,0.4963301746365286
245,sgRNA1094,0.0007699031542059,0.00038692720231,0.5025660697663822
246,sgRNA0402,0.0006472869991769,0.000331048814014,0.5114405425027333
